"module","direction","analytename","units","proximate_stressor"
"Conductivity","Negative","Chloride","mg/L","Chloride"
"Conductivity","Negative","SpecificConductivity","uS/cm","Specific Conductivity"
"Conductivity","Negative","Sulfate","mg/L","Sulfate"
"Conductivity","Negative","Total Dissolved Solids","mg/L","Total Dissolved Solids"
"Eutrophication","Negative","AFDM_Algae","g/m2","Ash Free Dry Mass of Algae"
"Eutrophication","Negative","Chlorophyll a","ug/cm2","Chlorophyll a"
"Eutrophication","Positive","Dissolved Oxygen","mg/L","Dissolved Oxygen"
"Eutrophication","Negative","Nitrogen,Total","mg/L","Total Nitrogen"
"Eutrophication","Negative","Phosphorus as P","mg/L","Phosphorus as P"
"Habitat","Positive","Ev_FlowHab","none","Eveness of Flow Habitats"
"Habitat","Positive","H_AqHab","none","Diversity of Aquatic Life Habitats"
"Habitat","Positive","H_SubNat","none","Diversity of Natural Substrate"
"Habitat","Negative","PCT_SAFN","%","Percent Sands and Fines"
"Temperature","Negative","Temperature","deg C","Temperature"
"Temperature","Positive","XCDENMID","%","Riparian Cover"
